company_code,name,business_description,listing_status,duns_company_code,primary_industry_code,primary_industry_scheme,primary_industry_description,city,state,zipcode
RCKT,WestRock Co.,"WestRock Co. engages in the provision of fiber-based paper and packaging solutions. It operates through the following segments: Corrugated Packaging, Consumer Packaging, Global Paper, and Distribution. The Corrugated Packaging segment consists of the sale of containers and other products including displays. The Consumer Packaging segment involves the packaging products such as folding cartons, interior partitions, inserts, and labels. The Global Paper segment focuses on commercial paper operations and generates its revenues primarily from the sale of containerboard, paperboard, and specialty grades to external customers. The Distribution segment distributes packaging materials and other specialty packaging products, including stretch film, void fill, carton sealing tape, and other specialty tapes. The company was founded on March 6, 2015 and is headquartered in Atlanta, GA.",listed,079878374,2657,SIC,"Folding Paperboard Boxes, Including Sanitary",Atlanta,Georgia,30328
XCMCRP,"PayPal Holdings, Inc.","PayPal Holdings, Inc. engages in the development of technology platforms for digital payments. Its solutions include PayPal, PayPal Credit, Braintree, Venmo, Xoom, and Paydiant products. It manages a two-sided proprietary global technology platform that links customers, which consist of both merchants and consumers, to facilitate the processing of payment transactions. It allows its customers to use their account for both purchase and paying for goods, as well as to transfer and withdraw funds. It also enables consumers to exchange funds with merchants using funding sources, which include bank account, PayPal account balance, PayPal Credit account, credit and debit card or other stored value products. It offers consumers person-to-person payment solutions through its PayPal Website and mobile application, Venmo and Xoom. The company was founded in December 1998 and is headquartered in San Jose, CA.",listed,079809888,7389,SIC,"Business Services, NEC",San Jose,California,95131
CINFIN,Cincinnati Financial Corp.,"Cincinnati Financial Corp. engages in providing property casualty and life insurance services. It operates through the following segments: Commercial Lines Insurance, Personal Lines Insurance, Excess and Surplus Lines Insurance, Life Insurance, and Investments. The Commercial Lines Insurance segment includes commercial casualty, commercial property, commercial auto, worker's compensation, and other commercial lines insurance. The Personal Lines Insurance segment manages personal auto, homeowner, and other personal lines insurance. The Excess and Surplus Lines Insurance segment covers business risks such as the nature of the business or its claim history, that are difficult to profitably insure in the standard commercial lines market. The Life Insurance segment offers term life insurance, universal life insurance, worksite products, and whole life insurance services. The Investment segment generates revenue from the fixed-maturity investment and equity investment. The company was founded by John Jack Schiff Sr., Robert Cleveland Schiff, and Harry M. Turner in 1968 and is headquartered in Fairfield, OH.",listed,051290153,6399,SIC,"Insurance Carriers, NEC",Fairfield,Ohio,45014
BAKINT,Baker Hughes Co.,"Baker Hughes Co. is a holding company, which engages in the provision of oilfield products, services, and digital solutions. It operates through the Oilfield Services and Equipment (OFSE) and industrial and Energy Technology (IET) segments. The OFSE segment designs and manufactures products and provides services for onshore and offshore oilfield operations. The IET segment combines expertise, technologies, and services for industrial and energy customers including on and off-shore, LNG, pipeline and gas storage, refining, petrochemical, distributed gas, flow and process control, and industrial segments such as nuclear, aviation, automotive, marine, food and beverage, mining, cement and utilities. The company was founded in April 1987 and is headquartered in Houston, TX.",listed,174987909,1381,SIC,Drilling Oil and Gas Wells,Houston,Texas,77079
JONJON,Johnson & Johnson,"Johnson & Johnson is a holding company, which engages in the research, development, manufacture, and sale of products in the healthcare field. It operates through the Innovative Medicine and MedTech segments. The Innovative Medicine segment focuses on immunology, infectious diseases, neuroscience, oncology, cardiovascular and metabolism, and pulmonary hypertension. The MedTech segment includes a portfolio of products used in the interventional solutions, orthopaedics, surgery, and vision categories. The company was founded by Robert Wood Johnson I, James Wood Johnson, and Edward Mead Johnson Sr. in 1887 and is headquartered in New Brunswick, NJ.",listed,001307081,2834,SIC,Pharmaceutical Preparations,New Brunswick,New Jersey,08933
NORSPW,"Xcel Energy, Inc.","Xcel Energy, Inc. is an electric and natural gas delivery company. It operates through the following three segments: Regulated Electric, Regulated Natural Gas Utility and All Others. The Regulated Electric segment focuses on generating, purchasing, transmitting, and distributing electricity. The Regulated Natural Gas Utility segment includes purchases, transport, stores, distribution, and sales. The All Others segment involves steam, appliance repair services, non-utility real estate activities, revenues associated with processing solid waste into refuse-derived fuel, investments in rental housing projects that qualify for low-income housing tax credits and equity method investments in energy impact partners funds. The company was founded in 1909 and is headquartered in Minneapolis, MN.",listed,848381245,4911,SIC,Electric Services,Minneapolis,Minnesota,55401
FSOLAR,"First Solar, Inc.","First Solar, Inc. is a solar technology company, which engages in the provision of solar modules. It is involved in the design, manufacture, and sale of cadmium tellurid (CdTe) solar modules, which convert sunlight into electricity. The company was founded by Michael J. Ahearn in 1999 and is headquartered in Tempe, AZ.",listed,606072429,3674,SIC,Semiconductors and Related Devices,Tempe,Arizona,85288
CELANS,Celanese Corp.,"Celanese Corp. engages in the provision of technology and specialty materials businesses. It operates through the following segments: Engineered Materials, Acetate Tow, Acetyl Chain and Other Activities. The Engineered Materials segment includes the engineered materials business, food ingredients business and certain strategic affiliates. The Acetate Tow segment serves consumer-driven applications and is a global producer and supplier of acetate tow and acetate flake used in filter products applications. The Acetyl Chain segment includes the integrated chain of intermediate chemistry, emulsion polymers and ethylene vinyl acetate (""EVA"") polymers businesses, based on similar products, production processes, classes of customers and selling and distribution practices as well as economic similarities over a normal business cycle. The Other Activities segment consists of corporate center costs, including administrative activities such as finance, information technology and human resource functions, interest income and expenses associated with financing activities. The company was founded by Camille Dreyfus and Henri Dreyfus in 1918 and is headquartered in Irving, TX.",listed,170204486,2869,SIC,"Industrial Organic Chemicals, NEC",Irving,Texas,75039
APPLC,"Apple, Inc.","Apple, Inc. engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other varieties of related services. It operates through the following geographical segments: Americas, Europe, Greater China, Japan, and Rest of Asia Pacific. The Americas segment includes North and South America. The Europe segment consists of European countries, as well as India, the Middle East, and Africa. The Greater China segment comprises China, Hong Kong, and Taiwan. The Rest of Asia Pacific segment includes Australia and Asian countries. Its products and services include iPhone, Mac, iPad, AirPods, Apple TV, Apple Watch, Beats products, AppleCare, iCloud, digital content stores, streaming, and licensing services. The company was founded by Steven Paul Jobs, Ronald Gerald Wayne, and Stephen G. Wozniak in April 1976 and is headquartered in Cupertino, CA.",listed,060704780,3663,SIC,Radio and Television Broadcasting and Communication Equipment,Cupertino,California,95014
VUAWIM,"Viatris, Inc.","Viatris, Inc. is a global healthcare company, which engages in the provision of access to medicines and sustainable operations. It also offers support services such as diagnostic clinics, educational seminars, and digital tools. The firm operates through the following segments: Developed Markets, Greater China, JANZ, and Emerging Markets. The Developed Markets segment consists of operations primarily in North America and Europe. The Greater China segment includes operations in mainland China, Taiwan and Hong Kong. The JANZ segment consists of operations in Japan, Australia and New Zealand. The Emerging Markets segment encompasses operations with developing markets and emerging economies including countries in Asia, the Middle East, South and Central America, Africa and Eastern Europe. The company was founded on February 14, 2019 and is headquartered in Canonsburg, PA.",listed,117542494,2834,SIC,Pharmaceutical Preparations,Canonsburg,Pennsylvania,15317
SLQPAB,"GE Vernova, Inc.","GE Vernova is an energy business company. They provide digital, energy consulting, energy financial services, gas power, grid solutions, nuclear energy, power conversion, renewable energy, steam power, and so on.",listed,,3612,SIC,"Power, Distribution, and Specialty Transformers",,,
PALTNK,"Palo Alto Networks, Inc.","Palo Alto Networks, Inc. engages in the provision of network security solutions to enterprises, service providers, and government entities. It operates through the following geographical segments: the United States, Israel, and Other Countries. The company was founded by Nir Zuk in March 2005 and is headquartered in Santa Clara, CA.",listed,198144771,7372,SIC,Prepackaged Software,Santa Clara,California,95054
MCGRWH,"S&P Global, Inc.","S&P Global, Inc. engages in the provision of transparent and independent ratings, benchmarks, analytics, and data to the capital and commodity markets worldwide. It operates through the following segments: Market Intelligence, Ratings, Commodity Insights, Mobility, Indices, and Engineering Solutions. The Market Intelligence segment provides multi-asset-class data and analytics integrated with purpose-built workflow solutions. The Ratings segment is involved in credit ratings, research, and analytics, offering investors and other market participants information, ratings, and benchmarks. The Commodity Insights segment focuses on information and benchmark prices for the commodity and energy markets. The Mobility segment offers solutions serving the full automotive value chain including vehicle manufacturers, automotive suppliers, mobility service providers, retailers, consumers, and finance and insurance companies. The Engineering Solutions segment engages in advanced knowledge discovery technologies, research tools, and software-based engineering decision engines to advance innovation, maximize productivity, improve quality, and reduce risk. The company was founded by James H. McGraw and John A. Hill in 1917 and is headquartered in New York, NY.",listed,001213206,7323,SIC,Credit Reporting Services,New York,New York,10041
BCMP,"Robert Half, Inc.","Robert Half, Inc. engages in the provision of staffing and risk consulting services. It operates through the following business segments: Temporary and Consultant Staffing, Permanent Placement Staffing, and Risk Consulting and Internal Audit Services. The Temporary and Consultant Staffing segment offers staffing in the accounting and finance, administrative and office, information technology, legal, advertising, marketing, and web design fields. The Permanent Placement Staffing segment provides full-time personnel in the accounting, finance, administrative & office, and information technology fields. The Risk Consulting and Internal Audit Services segment consists of business and technology risk consulting and internal audit services. The company was founded by Robert Half in 1948 and is headquartered in Menlo Park, CA.",listed,043256403,7363,SIC,Help Supply Services,Menlo Park,California,94025
WSTDGT,Western Digital Corp.,"Western Digital Corp. engages in the development, manufacture, marketing, and sale of data storage devices and solutions. It operates through the Flash and Hard Disk Drive segments. The Flash segment represents flash-based data storage devices. The Hard Disk Drive segment provides hard disk storage solutions. The company was founded by Alvin B. Phillips in 1970 and is headquartered in San Jose, CA.",listed,051983567,3572,SIC,Computer Storage Devices,San Jose,California,95119
AUSPAM,Amcor Pty Ltd,Mfg Sanitary Food Containers,listed,753198399,2656,SIC,"Sanitary Food Containers, Except Folding",Southbank,VIC,3006
CAWI,"Constellation Brands, Inc.","Constellation Brands, Inc. engages in the production, marketing, and distribution of beer, wine, and spirits. It operates through the following segments: Beer, Wine and Spirits, Corporate Operations and Other, and Canopy. The Beer segment includes imported and craft beer brands. The Wine and Spirits segment sells wine brands across all categories-table wine, sparkling wine, and dessert wine-and across all price points. The Corporate Operations and Other segment refers to the costs of executive management, corporate development, corporate finance, human resources, internal audit, investor relations, legal, public relations, and information technology. The Canopy segment consists of canopy equity method Investments. The company was founded by Marvin Sands in 1945 and is headquartered in Victor, NY.",listed,059651117,2082,SIC,Malt Beverages,Victor,New York,14564
LAMRES,Lam Research Corp.,"Lam Research Corp. engages in the design, manufacture, marketing, refurbishment, and provision of semiconductor processing equipment used in the fabrication of integrated circuits. It operates through the following geographical segments: the United States, China, Europe, Japan, Korea, Southeast Asia, and Taiwan. The company was founded by David K. Lam in 1980 and is headquartered in Fremont, CA.",listed,038137956,3559,SIC,"Special  Industry Machinery, NEC",Fremont,California,94538
CUMEI,"Cummins, Inc.","Cummins, Inc. engages in the design, manufacture, and distribution of diesel, natural gas, electric and hybrid powertrains and powertrain-related components including filtration, aftertreatment, turbochargers, fuel systems, valvetrain technologies, controls systems, air handling systems, automated transmissions, axles, drivelines, brakes, suspension systems, electric power generation systems, batteries, electrified power systems, hydrogen production technologies, and fuel cell products. It operates through the following segments: Engine, Distribution, Components, Power Systems, and Accelera. The Engine segment manufactures and markets diesel and natural gas-powered engines under the Cummins brand name, for the heavy- and medium-duty truck, bus, recreational vehicle, light-duty automotive, construction, mining, marine, rail, oil and gas, defense, and agricultural markets. The Distribution segment includes power generation systems, high-horsepower engines, heavy-duty and medium-duty engines designed for on- and off-highway use, application engineering services, custom-designed assemblies, retail and wholesale aftermarket parts, and in-shop and field-based repair service. The Components segment supplies products including axles, drivelines, brakes and suspension systems for commercial diesel and natural gas applications, aftertreatment systems, turbochargers, fuel systems, valvetrain technologies, filtration products, automated transmissions, and electronics. The Power Systems segment engages in power generation, industrial, and generator technologies. The Accelera segment designs, manufactures, sells, and supports hydrogen production technologies, as well as electrified power systems, including battery, fuel cell, and electric powertrain technologies. The company was founded by Clessie Lyle Cummins and William Glanton Irwin on February 3, 1919 and is headquartered in Columbus, IN.",listed,006415160,3714,SIC,Motor Vehicle Parts and Accessories,Columbus,Indiana,47202
RLINGP,"CoStar Group, Inc.","CoStar Group, Inc. engages in the provision of online real estate marketplaces, information, and analytics in the commercial and residential property markets. It operates through the North America and International geographical segments. The North America segment includes the United States and Canada. The International segment refers to Europe, Asia-Pacific, and Latin America. The company was founded by Andrew C. Florance and Michael R. Klein in 1987 and is headquartered in Washington, DC.",listed,188908909,7375,SIC,Information Retrieval Services,Washington,District of Columbia,20005
PIELE,"Iron Mountain, Inc.","Iron Mountain, Inc. engages in the provision of storage and information management solutions. It operates through the following business segments: North American Records & Information Management Business, North American Data Management Business, Western European Business, Other International Business, Global Data Center Business and Corporate & Other Business. The North American Records & Information Management Business segment offers record management, destruction, and fulfillment services throughout the U.S. and Canada. The North American Data Management Business segment handles data protection and recovery, server and computer backup services, and safeguarding of electronic and physical media in the U.S. and Canada. The Western European Business segment offers records management, data protection and recovery services, and document management solutions throughout the United Kingdom, Ireland, Austria, Belgium, France, Germany, Netherlands, Spain, and Switzerland. The Other International Business segment offers storage and information management services throughout the remaining European countries, Latin America, the Middle East and Africa. The Global Data Center Business segment provides data center facilities to protect mission-critical assets and ensure the continued operation of its customers IT infrastructures, with secure and reliable colocation and wholesale options. The Corporate & Other Business segment consists of the storage, safeguarding and electronic or physical deliveries of physical media of all types and digital content repository systems to house, distribute, and archive key media assets, primarily for entertainment and media industry clients. The company was founded by Herman Knaust in 1951 and is headquartered in Portsmouth, NH.",listed,622535417,6798,SIC,Real Estate Investment Trusts,Portsmouth,New Hampshire,03801
DISCHA,"Discovery, Inc.","Discovery, Inc. is a media company, which engages in the provision of content across distribution platforms and digital distribution arrangements. It operates through the following segments: U.S. Networks and International Networks. The U.S. Networks segment owns and operates national television networks such as Discovery Channel, Animal Planet, and Investigation Discovery and Science. The International Networks segment consists of international television networks and websites. The company was founded by John S. Hendricks in September 1982 and is headquartered in Silver Spring, MD.",listed,828411897,4841,SIC,Cable and Other Pay Television Services,New York,New York,10003
LYO,LyondellBasell Industries NV,"LyondellBasell Industries NV engages in the refinery and production of plastic resins and other chemicals. It operates through the following segments: Olefins and Polyolefins-Americas; Olefins and Polyolefins-Europe, Asia, International; Intermediates and Derivatives; Advanced Polymer Solutions; Refining; and Technology. The Olefins and Polyolefins-Americas segment produces and markets olefins and co-products, polyethylene and polypropylene. The Olefins and Polyolefins-Europe, Asia, International segment also offers olefins and polyolefins. The Intermediates and Derivatives segment includes propylene oxide and its derivatives; oxyfuels and related products; and intermediate chemicals. The Advanced Polymer Solutions segment produces and markets compounding and solutions, such as polypropylene compounds, engineered plastics, masterbatches, colors and powders, engineered composites, and advanced polymers. The Refining segment refines heavy, high-sulfur crude oil and other crude oils of varied types and sources. The Technology segment develops chemical and polyolefin process technologies and manufactures and sells polyolefin catalysts. The company was founded in December 2007 and is headquartered in London, the United Kingdom.",listed,220000428,2869,SIC,"Industrial Organic Chemicals, NEC",London,Greater London,W1J 0AH
PITNAT,"The PNC Financial Services Group, Inc.","The PNC Financial Services Group, Inc. is a holding company, which engages in the provision of financial services. It operates through the following segments: Retail Banking, Corporate and Institutional Banking, Asset Management Group, and Other. The Retail Banking segment offers deposit, lending, brokerage, investment management, and cash management products and services to consumer and small business customers. The Corporate and Institutional segment covers the lending, treasury management, and capital markets-related products and services to mid-sized and large corporations, government, and not-for-profit entities. The Asset Management Group segment includes personal wealth management for high net worth and ultra-high net worth clients and institutional asset management. The company was founded in 1983 and is headquartered in Pittsburgh, PA.",listed,057980500,6021,SIC,National Commercial Banks,Pittsburgh,Pennsylvania,15222
JACINT,"Jacobs Solutions, Inc.","Jacobs Solutions, Inc. is a holding company, which engages in the designing and deployment of technology-centric solutions. It operates through the following business segments: Critical Mission Solutions, People and Places Solutions, and PA Consulting. The Critical Mission Solutions segment offer broad sectors, including U.S. government services, cyber, nuclear, commercial, and international sectors. The People and Places Solutions segment provides end-to-end solutions under the climate change, energy transition, connected mobility, integrated water management, smart cities, and vaccine manufacturing industries. The PA Consulting segment includes the investment in PA Consulting Group. The company was founded in 1947 and is headquartered in Dallas, TX.",listed,074103508,7374,SIC,Computer Processing and Data Preparation and Processing Services,Dallas,Texas,75201
PAYCH,"Paychex, Inc.","Paychex, Inc. engages in the provision of human capital management solutions for payroll, human resources, insurance and retirement for small and medium-sized businesses. Its solutions include payroll services, hiring services, business insurance, time and attendance, employee benefits, finance and payments, human resources services and startup services. The company was founded by Blase Thomas Golisano in 1971 and is headquartered in Rochester, NY.",listed,094399359,8721,SIC,"Accounting, Auditing, and Bookkeeping Services",Rochester,New York,14625
AIRPRO,"Air Products & Chemicals, Inc.","Air Products & Chemicals, Inc. engages in the manufacture and distribution of atmospheric gases. It operates through the following segments: Americas, Asia, Europe, Middle East and India, and Corporate and Other. The Americas, Asia, Europe, and Middle East and India segments focuses on producing and selling gases to customers, including those in refining, chemicals, metals, electronics, manufacturing, medical, and food industries. The Corporate and Other segment is involved in sales of cryogenic and gas processing equipment for air separation that is sold worldwide to customers in a variety of industries, including chemical and petrochemical manufacturing, oil and gas recovery and processing, and steel and primary metals processing. The company was founded by Leonard Parker Pool on September 30, 1940 and is headquartered in Allentown, PA.",listed,003001070,2813,SIC,Industrial Gases,Allentown,Pennsylvania,18106
TRACSU,Tractor Supply Co.,"Tractor Supply Co. engages in the retail sale of farm and ranch products. It operates retail farm & ranch stores and focuses on supplying the lifestyle needs of recreational farmers and ranchers, as well as tradesmen and small businesses. The firm operates the retail stores under the names: Tractor Supply Company, Orscheln Farm & Home, and Petsense. Its product categories include equine, livestock, pet, and small animal, hardware, truck, towing, and tool, heating, lawn and garden items, power equipment, gifts, and toys, recreational clothing and footwear, and maintenance products for agricultural and rural use. The company was founded by Charles E. Schmidt, Sr. in 1938 and is headquartered in Brentwood, TN.",listed,006932917,5261,SIC,"Retail Nurseries, Lawn and Garden Supply Stores",Brentwood,Tennessee,37027
DUPNT,"DuPont de Nemours, Inc.","DuPont de Nemours, Inc. is a holding company, which engages in the development of specialty materials, chemicals, and agricultural products. It operates through the following segments: Electronics and Industrial, Water and Protection, and Corporate and Others. The Electronics and Industrial segment involves the supply of differentiated materials and systems for a broad range of consumer electronics including mobile devices, television monitors, personal computers and electronics used in a variety of industries. The Water and Protection segment focuses on the provision of engineered products and integrated systems for many industries including worker safety, water purification and separation, aerospace, energy, medical packaging and building materials. The company was founded in 1897 and is headquartered in Wilmington, DE.",listed,080386615,2821,SIC,"Plastics Material Synthetic Resins, and Nonvulcanizable Elastomers",Wilmington,Delaware,19805
FEMP,M&T Bank Corp.,"M&T Bank Corp. operates as a bank holding company, which engages in the provision of retail and commercial banking, trust, wealth management and investment services. It operates through the following segments: Business Banking, Commercial Banking, Commercial Real Estate, Discretionary Portfolio, Residential Mortgage Banking, and Retail Banking. The Business Banking segment provides services to small businesses and professionals through the company's branch network, business banking centers, and other delivery channels such as telephone banking, Internet banking and automated teller machines. The Commercial Banking segment offers credit products and banking services for middle-market and large commercial customers. The Commercial Real Estate segment includes credit and deposit services to its customers. The Discretionary Portfolio segment consists of investment and trading securities, residential mortgage loans and other assets, short-term and long-term borrowed funds, brokered certificates of deposit and interest rate swap agreements related thereto, and Cayman Islands branch deposits. The Residential Mortgage Banking segment consists of residential mortgage loans and sells substantially all of those loans in the secondary market to investors. The Retail Banking segment offers services to consumers through several delivery channels which include branch offices, automated teller machines, telephone banking, and Internet banking. The company was founded on August 30, 1856, and is headquartered in Buffalo, NY.",listed,072796022,6022,SIC,State Commercial Banks,Buffalo,New York,14203
POEA,"Brown & Brown, Inc.","Brown & Brown, Inc. is an insurance agency, wholesale brokerage, insurance program and service organization. It engages in the provision of insurance brokerage services and casualty insurance underwriting services. It operates through the following segments: Retail, National Programs, Wholesale Brokerage, and Services. The Retail Segment receives fees in lieu of commissions. The National Programs segment acts as a managing general agent and provides professional liability and related package products for certain professionals, a range of insurance products for individuals, flood coverage, and targeted products and services designated for specific industries, trade groups, governmental entities and market niches. The Wholesale Brokerage segment markets and sells excess and surplus commercial and personal lines insurance, primarily through independent agents and brokers, as well as the company’s retail agents. The Services segment provides insurance-related services, including third-party claims administration and comprehensive medical utilization management services in both the workers' compensation and all-lines liability arenas, as well as Medicare Set-aside services, social security disability and Medicare benefits advocacy services and claims adjusting services. The company was founded by J. Adrian Brown and Charles Covington Owen in 1939 and is headquartered in Daytona Beach, FL.",listed,004429478,6411,SIC,"Insurance Agents, Brokers, and Service",Daytona Beach,Florida,32114
LILYE,Eli Lilly & Co.,"Eli Lilly & Co. engages in the discovery, development, manufacture, and sale of pharmaceutical products. The firm's products consist of diabetes, oncology, immunology, neuroscience, and other products and therapies. The company was founded by Eli Lilly in May 1876 and is headquartered in Indianapolis, IN.",listed,006421325,2834,SIC,Pharmaceutical Preparations,Indianapolis,Indiana,46285
LOEW,Loews Corp.,"Loews Corp. is a holding company, which engages in the business of commercial property and casualty insurance, transportation and storage of natural gas and natural gas liquids, and operation of a chain of hotels. It operates through the following segments: CNA Financial, Boardwalk Pipelines, Loews Hotels and Co, and Corporate. The CNA Financial segment is involved in the sale of property and casualty insurance products and services, including surety, primarily through a network of independent agents, brokers, and managing general underwriters. The Boardwalk Pipelines segment focuses on midstream portion of the natural gas and NGLs industry, providing transportation, and storage for those commodities. The Loews Hotels and Co segment refers to a chain of hotels, which are in the United States and one of which is in Canada. The Corporate segment consists of investment income from the parent company’s cash and investments, parent company interest expense, and other unallocated parent company expenses. The company was founded by Laurence A. Tisch and Preston Robert Tisch on November 12, 1969 and is headquartered in New York, NY.",listed,006986905,6331,SIC,"Fire, Marine, and Casualty Insurance",New York,New York,10019
RFMIC,"Qorvo, Inc.","Qorvo, Inc. provides semiconductor solutions for RF and power. The firm combines product and technology leadership, systems-level expertise, and global manufacturing scale to quickly solve its customers’ most complex technical challenges. Qorvo serves diverse high-growth segments of large global markets, including consumer electronics, smart home/IoT, automotive, EVs, battery-powered appliances, network infrastructure, healthcare, and aerospace/defense. It operates through the following segments: High Performance Analog (HPA), Connectivity and Sensors Group (CSG), and Advanced Cellular Group (ACG). The HPA segment supplies RF and power management solutions for infrastructure, defense and aerospace, automotive power, and other markets. The CSG segment supplies connectivity and sensor components and systems featuring multiple technologies such as UWB, Matter, Bluetooth Low Energy, Zigbee, Thread, Wi-Fi, cellular IoT and MEMS-/BAW-based sensors. The ACG segment supplies cellular RF solutions for smartphones, wearables, laptops, tablets, and various other devices. The company was formed following the merger of RF Micro Devices, founded in 2015, and TriQuint Semiconductor, incorporated in 1981. It is headquartered in Greensboro, NC.",listed,026206752,3674,SIC,Semiconductors and Related Devices,Greensboro,North Carolina,27409
WST,"West Pharmaceutical Services, Inc.","West Pharmaceutical Services, Inc. manufactures and markets pharmaceuticals, biologics, vaccines and consumer healthcare products. It operates through the following business segments: Proprietary Products and Contract-Manufactured Products. The Proprietary Products segment offers proprietary packaging, containment and drug delivery products, along with analytical lab services, to biologic, generic and pharmaceutical drug customers. The Contract-Manufactured Products segment serves as a fully integrated business, focused on the design, manufacture and automated assembly of complex devices, primarily for pharmaceutical, diagnostic, and medical device customers. The company was founded by Herman O. West on July 27, 1923 and is headquartered in Exton, PA.",listed,002330983,3841,SIC,Surgical and Medical Instruments and Apparatus,Exton,Pennsylvania,19341
PRREHO,Everest Group Ltd.,"Everest Group Ltd. is a holding company, which engages in the provision of reinsurance and insurance services. It operates through the following segments: Reinsurance, and Insurance. The Reinsurance segment writes property and casualty reinsurance and specialty lines of business, including marine, aviation, surety, and accident and health business, on both a treaty and facultative basis, through reinsurance brokers, as well as directly with ceding companies primarily within the U.S. The Insurance segment writes property and casualty insurance directly and through brokers, surplus lines brokers, and general agents within the U.S., Canada, and Europe. The company was founded in 1999 and is headquartered in Hamilton, Bermuda.",listed,875659679,6399,SIC,"Insurance Carriers, NEC",Hamilton,HA,HM 19
WILF,Willis Towers Watson Plc,"Willis Towers Watson Plc engages in the provision of advisory, broking, and solutions services. It operates through the following segments: Health, Wealth, and Career (HCW), Risk and Broking (R&B), and Corporate and Other. The HCW segment provides an array of advice, broking, solutions, and technology for employee benefit plans, institutional investors, compensation and career programs, and the employee experience overall. The R&B segment focuses on a broad range of risk advice, insurance brokerage, and consulting services to clients globally, ranging from small businesses to multinational corporations. The company was founded in 1828 and is headquartered in London, the United Kingdom.",listed,985037541,6411,SIC,"Insurance Agents, Brokers, and Service",London,Greater London,EC3M 7DQ
LVSI,Las Vegas Sands Corp.,"Las Vegas Sands Corp. engages in the development of destination properties. It operates through the Macao and Singapore geographical segments. The Macao segment handles the operations of The Venetian Macao, The Londoner Macao, The Parisian Macao, The Plaza Macao and Four Seasons Macao, and Sands Macao. The Singapore segment includes the Marina Bay Sands. The company was founded by Sheldon Gary Adelson in August 2004 and is headquartered in Las Vegas, NV.",listed,167202667,7011,SIC,Hotels and Motels,Las Vegas,Nevada,89113
HCFDS,"Welltower, Inc.","Welltower, Inc. operates as a health care infrastructure company. It invests in seniors housing operators, post-acute providers and health systems to fund the real estate infrastructure. The company's operating business segments include Seniors Housing Operating, Triple-Net and Outpatient Medical. The Seniors Housing Operating segment operates properties including seniors? apartments, independent living and independent supportive living, continuing care retirement communities, and assisted living, Alzheimer's/dementia care and includes care homes with or without nursing. The Triple-Net segment properties offer services including independent living & supportive living (Canada), assisted living, continuing care retirement communities, Alzheimer's/dementia care and care homes with or without nursing (U.K.), and long-term/post-acute care. The Outpatient Medical segment invests in and operates outpatient medical buildings including physician offices, ambulatory surgery centers, diagnostic facilities, outpatient services and/or labs. The company was founded in 1970 and is headquartered in Toledo, OH.",listed,077564482,6798,SIC,Real Estate Investment Trusts,Toledo,Ohio,43615
ROWPRI,"T. Rowe Price Group, Inc.","T. Rowe Price Group, Inc. engages in the provision of investment management services. The company was founded by Thomas Rowe Price Jr. in 1937 and is headquartered in Baltimore, MD.",listed,045673662,6282,SIC,Investment Advice,Baltimore,Maryland,21202
TARGRI,Targa Resources Corp.,"Targa Resources Corp. provides midstream natural gas and natural gas liquids services. It also provides gathering, storing, and terminaling crude oil, and storing, terminaling, and selling refined petroleum products. It operates through the Gathering and Processing and Logistics and Transportation segments. The Gathering and Processing segment includes assets used in the gathering of natural gas produced from oil and gas wells and processing this raw natural gas into merchantable natural gas by extracting NGLs and removing impurities, and assets used for crude oil gathering and terminaling. The Logistics and Transportation segment focuses on the activities necessary to convert mixed NGLs into NGL products and provides certain value-added services such as the storing, fractionating, terminaling, transporting and marketing of NGLs and NGL products, including services to LPG exporters, and the storing and terminaling of refined petroleum products and crude oil and certain natural gas supply and marketing activities in support of its other businesses. The company was founded in October 2005 and is headquartered in Houston, TX.",listed,827389847,4924,SIC,Natural Gas Distribution,Houston,Texas,77002
NCNBCO,Bank of America Corp.,"Bank of America Corp. is a bank and financial holding company, which engages in the provision of banking and nonbank financial services. It operates through the following segments: Consumer Banking, Global Wealth and Investment Management (GWIM), Global Banking, Global Markets, and All Other. The Consumer Banking segment offers credit, banking, and investment products and services to consumers and small businesses. The GWIM segment offers solutions to meet clients’ needs through a full set of investment management, brokerage, banking, and retirement products. The Global Banking segment deals with lending-related products and services, integrated working capital management and treasury solutions to clients, and underwriting and advisory services. The Global Markets segment includes sales and trading services, as well as research, to institutional clients across fixed-income, credit, currency, commodity, and equity businesses. The All Other segment consists of asset and liability management activities, equity investments, non-core mortgage loans and servicing activities, the net impact of periodic revisions to the mortgage servicing rights (MSR) valuation model for both core and non-core MSRs, other liquidating businesses, residual expense allocations and other. The company was founded by Amadeo Peter Giannini in 1904 and is headquartered in Charlotte, NC.",listed,055169452,6021,SIC,National Commercial Banks,Charlotte,North Carolina,28255
